Date,Open,High,Low,Close,Adj Close,Volume
2018-01-22,207.0,207.0,195.0,198.0,198.0,1861
2018-01-23,210.0,216.0,192.0,205.5,205.5,3015
2018-01-24,202.5,204.0,195.0,199.5,199.5,1557
2018-01-25,210.0,243.0,202.5,223.5,223.5,5996
2018-01-26,222.0,256.5,219.0,243.0,243.0,5397
2018-01-29,262.5,280.5,247.5,259.5,259.5,8627
2018-01-30,262.5,262.5,231.0,231.0,231.0,3758
2018-01-31,238.5,244.5,222.0,225.0,225.0,2933
2018-02-01,223.5,231.0,208.5,223.5,223.5,2969
2018-02-02,240.0,240.0,202.5,205.5,205.5,2509
2018-02-05,204.0,223.5,199.5,213.0,213.0,2925
2018-02-06,207.0,232.5,207.0,232.5,232.5,1872
2018-02-07,237.0,244.5,214.5,222.0,222.0,1602
2018-02-08,231.0,231.0,210.0,214.5,214.5,1119
2018-02-09,211.5,223.5,207.0,216.0,216.0,1045
2018-02-12,220.5,234.0,214.5,231.0,231.0,1559
2018-02-13,225.0,247.5,225.0,244.5,244.5,1838
2018-02-14,243.0,262.5,240.0,253.5,253.5,2415
2018-02-15,249.0,253.5,217.5,228.0,228.0,3725
2018-02-16,232.5,232.5,223.5,229.5,229.5,993
2018-02-20,241.5,241.5,217.5,222.0,222.0,1475
2018-02-21,220.5,231.0,213.0,216.0,216.0,1317
2018-02-22,222.0,231.0,216.0,228.0,228.0,1081
2018-02-23,228.0,241.5,222.0,241.5,241.5,1926
2018-02-26,247.5,247.5,228.0,232.5,232.5,1164
2018-02-27,231.0,234.0,225.0,231.0,231.0,695
2018-02-28,231.0,232.5,226.5,226.5,226.5,868
2018-03-01,228.0,229.5,216.0,222.0,222.0,1118
2018-03-02,217.5,231.0,217.5,228.0,228.0,843
2018-03-05,226.5,232.5,225.0,228.0,228.0,1317
2018-03-06,225.0,234.0,225.0,228.0,228.0,987
2018-03-07,228.0,246.0,228.0,238.5,238.5,2098
2018-03-08,240.0,277.5,240.0,258.0,258.0,6183
2018-03-09,255.0,274.5,255.0,258.0,258.0,2105
2018-03-12,256.5,267.0,247.5,256.5,256.5,1198
2018-03-13,256.5,264.0,247.5,250.5,250.5,737
2018-03-14,253.5,258.0,249.0,255.0,255.0,365
2018-03-15,258.0,306.0,256.5,285.0,285.0,7269
2018-03-16,298.5,298.5,270.0,271.5,271.5,2164
2018-03-19,262.5,277.5,241.5,241.5,241.5,3239
2018-03-20,244.5,246.0,237.0,240.0,240.0,1753
2018-03-21,241.5,243.0,165.0,211.5,211.5,14105
2018-03-22,196.5,210.0,186.0,196.5,196.5,3704
